,NAME,Median Household,state,county,Unnamed: 4
181,"Walker County, Georgia",35824,13,295,
182,"Walton County, Georgia",48703,13,297,
183,"Whitfield County, Georgia",34972,13,313,
184,"Hawaii County, Hawaii",50285,15,1,
185,"Honolulu County, Hawaii",71404,15,3,
186,"Kauai County, Hawaii",59238,15,7,
187,"Maui County, Hawaii",61207,15,9,
188,"Ada County, Idaho",53909,16,1,
189,"Bannock County, Idaho",42832,16,5,
190,"Bonneville County, Idaho",49450,16,19,
191,"Canyon County, Idaho",41555,16,27,
192,"Kootenai County, Idaho",46870,16,55,
193,"Twin Falls County, Idaho",40745,16,83,
194,"Adams County, Illinois",46378,17,1,
195,"Champaign County, Illinois",46375,17,19,
196,"Cook County, Illinois",52174,17,31,
197,"DeKalb County, Illinois",45901,17,37,
198,"DuPage County, Illinois",78268,17,43,
199,"Kane County, Illinois",64638,17,89,
200,"Kankakee County, Illinois",51703,17,91,
201,"Kendall County, Illinois",77361,17,93,
202,"Lake County, Illinois",74334,17,97,
203,"LaSalle County, Illinois",49183,17,99,
204,"McHenry County, Illinois",76683,17,111,
205,"McLean County, Illinois",62117,17,113,
206,"Macon County, Illinois",44533,17,115,
207,"Madison County, Illinois",51688,17,119,
208,"Peoria County, Illinois",46450,17,143,
209,"Rock Island County, Illinois",50320,17,161,
210,"St. Clair County, Illinois",46505,17,163,
211,"Sangamon County, Illinois",55498,17,167,
212,"Tazewell County, Illinois",61339,17,179,
213,"Vermilion County, Illinois",40311,17,183,
214,"Will County, Illinois",72180,17,197,
215,"Williamson County, Illinois",40658,17,199,
216,"Winnebago County, Illinois",49144,17,201,
217,"Allen County, Indiana",48962,18,3,
218,"Bartholomew County, Indiana",53671,18,5,
219,"Clark County, Indiana",50075,18,19,
220,"Delaware County, Indiana",37032,18,35,
221,"Elkhart County, Indiana",45315,18,39,
222,"Floyd County, Indiana",53990,18,43,
223,"Grant County, Indiana",38877,18,53,
224,"Hamilton County, Indiana",85567,18,57,
225,"Hancock County, Indiana",62794,18,59,
226,"Hendricks County, Indiana",70867,18,63,
227,"Howard County, Indiana",38849,18,67,
228,"Johnson County, Indiana",61597,18,81,
229,"Kosciusko County, Indiana",49301,18,85,
230,"Lake County, Indiana",48120,18,89,
231,"LaPorte County, Indiana",46048,18,91,
232,"Madison County, Indiana",42933,18,95,
233,"Marion County, Indiana",41409,18,97,
234,"Monroe County, Indiana",38435,18,105,
235,"Morgan County, Indiana",50519,18,109,
236,"Porter County, Indiana",63050,18,127,
237,"St. Joseph County, Indiana",45225,18,141,
238,"Tippecanoe County, Indiana",42507,18,157,
239,"Vanderburgh County, Indiana",41445,18,163,
240,"Vigo County, Indiana",40646,18,167,
241,"Wayne County, Indiana",33385,18,177,
242,"Black Hawk County, Iowa",49086,19,13,
243,"Dallas County, Iowa",70198,19,49,
244,"Dubuque County, Iowa",49793,19,61,
245,"Johnson County, Iowa",52105,19,103,
246,"Linn County, Iowa",57460,19,113,
247,"Polk County, Iowa",57854,19,153,
248,"Pottawattamie County, Iowa",50171,19,155,
249,"Scott County, Iowa",52940,19,163,
250,"Story County, Iowa",49489,19,169,
251,"Woodbury County, Iowa",42013,19,193,
252,"Butler County, Kansas",58187,20,15,
253,"Douglas County, Kansas",50184,20,45,
254,"Johnson County, Kansas",73227,20,91,
255,"Leavenworth County, Kansas",59683,20,103,
256,"Riley County, Kansas",41835,20,161,
257,"Sedgwick County, Kansas",47311,20,173,
258,"Shawnee County, Kansas",47982,20,177,
259,"Wyandotte County, Kansas",37529,20,209,
260,"Boone County, Kentucky",65909,21,15,
261,"Bullitt County, Kentucky",57886,21,29,
262,"Campbell County, Kentucky",55888,21,37,
263,"Christian County, Kentucky",38843,21,47,
264,"Daviess County, Kentucky",43885,21,59,
265,"Fayette County, Kentucky",46248,21,67,
266,"Hardin County, Kentucky",49233,21,93,
267,"Jefferson County, Kentucky",45869,21,111,
268,"Kenton County, Kentucky",53561,21,117,
269,"McCracken County, Kentucky",43137,21,145,
270,"Madison County, Kentucky",38005,21,151,
271,"Pike County, Kentucky",32014,21,195,
272,"Warren County, Kentucky",41498,21,227,
273,"Ascension Parish, Louisiana",66315,22,5,
274,"Bossier Parish, Louisiana",53275,22,15,
275,"Caddo Parish, Louisiana",40886,22,17,
276,"Calcasieu Parish, Louisiana",44300,22,19,
277,"East Baton Rouge Parish, Louisiana",47967,22,33,
278,"Iberia Parish, Louisiana",43869,22,45,
279,"Jefferson Parish, Louisiana",45519,22,51,
280,"Lafayette Parish, Louisiana",47341,22,55,
281,"Lafourche Parish, Louisiana",48767,22,57,
282,"Livingston Parish, Louisiana",52397,22,63,
283,"Orleans Parish, Louisiana",34361,22,71,
284,"Ouachita Parish, Louisiana",36338,22,73,
285,"Rapides Parish, Louisiana",41321,22,79,
286,"St. Landry Parish, Louisiana",35765,22,97,
287,"St. Tammany Parish, Louisiana",56650,22,103,
288,"Tangipahoa Parish, Louisiana",34904,22,105,
289,"Terrebonne Parish, Louisiana",48911,22,109,
290,"Androscoggin County, Maine",44297,23,1,
291,"Aroostook County, Maine",38453,23,3,
292,"Cumberland County, Maine",55503,23,5,
293,"Kennebec County, Maine",46014,23,11,
294,"Penobscot County, Maine",41653,23,19,
295,"York County, Maine",52408,23,31,
296,"Allegany County, Maryland",38509,24,1,
297,"Anne Arundel County, Maryland",89179,24,3,
298,"Baltimore County, Maryland",62444,24,5,
299,"Calvert County, Maryland",87449,24,9,
300,"Carroll County, Maryland",80028,24,13,
301,"Cecil County, Maryland",63036,24,15,
302,"Charles County, Maryland",90880,24,17,
303,"Frederick County, Maryland",80765,24,21,
304,"Harford County, Maryland",76645,24,25,
305,"Howard County, Maryland",108844,24,27,
306,"Montgomery County, Maryland",94965,24,31,
307,"Prince George's County, Maryland",69879,24,33,
308,"St. Mary's County, Maryland",86358,24,37,
309,"Washington County, Maryland",53167,24,43,
310,"Wicomico County, Maryland",51451,24,45,
311,"Baltimore city, Maryland",39241,24,510,
312,"Barnstable County, Massachusetts",59453,25,1,
313,"Berkshire County, Massachusetts",46509,25,3,
