,NAME,income 75K-end,S0601_C01_046E.1,income 50-65K,Health Support,Architectural engineering,Community and Social,Life/Social/Physical science,income 10-15K,Production Occupation,income 15-25K,Fire Fighting,income 65-75K,Construcation & Extraction,income 35-50K,educational attainment,income 25-35K,Transportation,income 0-10K,Computer engineer/science,Sales,Health Technical,Personal care and service,median income,Management income,Health Diagnosing,Busineess Finance Operations,Computer and Math,Office Administrative,"Installation, maintenance, repair",Education,Material Moving,"Arts,sports,design",Building/Grounds Maintenance,"Farming, fishing, forestry",Law Enforcement,Legal,Food Service,state,county,Unnamed: 40
289,"Tangipahoa Parish, Louisiana",9.3,9.3,6.7,19389,100924,31369,-666666666,10.5,40285,12.8,35925,1.1,25471,11.6,13.5,9.3,45510,26.7,88346,18640,26697,16298,28307,47171,27204,31423,52198,23666,70681,37996,35243,14872,13810,-666666666,45349,60267,7737,22,105,
290,"Terrebonne Parish, Louisiana",9.5,9.5,6.3,16335,89008,41203,52449,9.8,36381,13.5,36821,2.6,40404,10.3,11.3,10.2,61881,18.7,81870,19331,46828,11645,31313,59660,40033,35625,71907,28038,40413,40189,36745,17640,15293,21126,50091,88428,11308,22,109,
291,"Androscoggin County, Maine",6.9,6.9,9.2,21036,39923,36069,-666666666,10,30718,15.9,21680,3.6,41748,13.4,13.3,15.5,31943,18.4,35997,29432,34804,11013,31481,41145,67444,44300,29375,27615,44683,26270,15597,32434,21558,40481,61657,75347,15263,23,1,
292,"Aroostook County, Maine",5,5,7.2,20671,36272,36438,47143,13.4,35112,15.8,47888,2.3,31806,13.2,10.3,10.8,29980,23.3,39141,19024,36496,16174,30304,47557,55658,41439,68125,24143,31566,30046,33671,26250,6272,36063,78405,42750,11919,23,3,
293,"Cumberland County, Maine",13.2,13.2,11,26295,61954,35857,47292,8.2,29603,13.8,27423,4.5,36084,12.8,24.8,12.3,31061,15.8,62018,30082,35205,16754,36134,62001,63117,60042,65307,28351,39929,40660,15606,40576,26079,15919,50203,72065,12073,23,5,
294,"Kennebec County, Maine",8.7,8.7,8.9,25113,89375,36702,24962,9.4,44438,17,20486,2.9,32237,14.8,16.5,13.4,31596,17.9,62740,22006,32449,10953,33066,62414,70560,46785,62676,30490,40453,34759,25343,18339,17086,24150,48517,68868,17518,23,11,
295,"Penobscot County, Maine",7,7,7.4,22067,51696,31341,41412,10.5,31240,17.4,41445,2.7,35034,11.2,15.4,11.7,33295,23.6,45152,21128,31691,9859,30149,61031,60178,39118,45584,26029,35746,32276,25076,15745,25201,20816,29989,31075,10543,23,19,
296,"York County, Maine",12,12,10,22106,66750,31737,57460,9,36723,15.9,36108,3.4,38542,14.6,16.4,14.2,39245,13.1,61699,26439,35230,19386,33708,52182,63217,59965,60465,30484,47392,30471,26273,30260,15938,27255,60138,68346,15353,23,31,
297,"Allegany County, Maryland",4.4,4.4,5.6,17276,79688,32297,-666666666,11.4,34819,16.6,40866,3.2,39404,10.1,7.3,12.4,29411,21.1,55868,18709,28733,22170,29546,50427,55915,27540,36532,25982,43675,49375,16299,55692,19542,-666666666,50289,-666666666,11652,24,1,
298,"Anne Arundel County, Maryland",23.6,23.6,10.2,34525,91383,50062,87408,6.6,39065,10.5,46545,4.1,45120,12.5,16.4,9.2,34596,12,90743,34489,50337,17496,48129,87582,72459,63788,91176,37043,55713,51121,26619,41659,27520,30607,71181,76160,15270,24,3,
299,"Baltimore County, Maryland",15.6,15.6,10.8,26364,67710,48339,60054,6.8,38884,12.6,41072,4.9,41685,13,19,10.3,36329,14.7,71471,31725,40652,19618,42124,70781,79904,64910,76695,36412,50597,44937,22849,40238,20322,16484,61939,77473,13786,24,5,
300,"Calvert County, Maryland",24,24,11.9,40934,120210,60757,76885,5,53919,9,51536,7.2,56875,11,13.8,9.5,39858,12.1,96831,46098,30137,12425,50876,110237,71268,52488,93750,42369,60079,56282,13709,40653,30223,-666666666,51763,60795,11523,24,9,
301,"Carroll County, Maryland",18.9,18.9,11.1,28061,87289,51179,49089,6.9,34931,12.2,59736,5,43150,12,17.3,9.4,40509,13.5,87896,30236,40971,20387,45716,75623,63648,68925,91894,37429,51800,45071,14764,42256,25411,33983,100269,75388,11705,24,13,
302,"Cecil County, Maryland",13.3,13.3,11.4,9967,78713,44275,51377,9.9,51203,11.1,39416,4.9,51563,12.1,9.8,11.6,47352,10.7,76293,20365,50849,23023,43703,85439,67930,52358,81146,32185,61361,41227,37742,42012,31350,-666666666,70547,61948,11601,24,15,
303,"Charles County, Maryland",22,22,9.8,26298,81389,51732,105580,5.5,42167,9.6,61411,6.7,50221,11.2,7.6,8.2,33211,10.1,86347,30488,49606,30831,50908,86391,71091,76985,88361,46424,61047,45396,28591,49174,27009,-666666666,60877,106709,10475,24,17,
304,"Frederick County, Maryland",20.8,20.8,10.1,27077,101643,43343,81374,6.3,38750,10.8,76380,5.2,37074,12.8,17.6,9.8,35760,13.4,91575,38921,46929,20169,45365,85717,60951,65035,92232,36541,46146,46735,25855,46250,17564,27956,78101,96250,14182,24,21,
305,"Harford County, Maryland",17.9,17.9,10.1,29932,95504,54398,65938,7,42774,11.7,57241,5.4,35360,12.4,16.1,10,31738,14.5,85006,31765,35662,14163,45083,81997,70344,66395,81246,35082,60811,41516,26024,50019,21112,32030,67230,41132,10363,24,25,
306,"Howard County, Maryland",30.3,30.3,9.3,27379,92507,59258,99288,4.9,36714,7.2,56804,5.8,46485,10,29,7.8,30903,12,91980,36553,40000,21293,60080,96314,80290,81366,91196,36034,48494,50572,21314,51234,25706,2499,78870,116724,17414,24,27,
307,"Montgomery County, Maryland",27.6,27.6,8.9,27625,91664,49996,89950,5.4,30777,9.9,36942,4.4,30839,9.6,31.2,8.8,27247,13,91176,27312,39996,21245,51198,100235,90278,76902,92009,36271,45299,49666,17415,50841,20129,16508,66875,140628,18574,24,31,
